group,port_type,port,count,percentage
Persistent FP,dst_port,54278,1,0.10752688172043011
Persistent FP,dst_port,54304,1,0.10752688172043011
Persistent FP,dst_port,53856,1,0.10752688172043011
Persistent FP,dst_port,53848,1,0.10752688172043011
Persistent FP,dst_port,53836,1,0.10752688172043011
Persistent FP,dst_port,35376,1,0.10752688172043011
Persistent FP,dst_port,37546,1,0.10752688172043011
Persistent FP,dst_port,48654,1,0.10752688172043011
Persistent FP,dst_port,48706,1,0.10752688172043011
Persistent FP,dst_port,48824,1,0.10752688172043011
Persistent FP,dst_port,50656,1,0.10752688172043011
V2-only FP,src_port,80,7,58.333333333333336
V2-only FP,src_port,54366,1,8.333333333333332
V2-only FP,src_port,54028,1,8.333333333333332
V2-only FP,src_port,35048,1,8.333333333333332
V2-only FP,src_port,50722,1,8.333333333333332
V2-only FP,src_port,46262,1,8.333333333333332
V2-only FP,dst_port,80,5,41.66666666666667
V2-only FP,dst_port,54354,1,8.333333333333332
V2-only FP,dst_port,54428,1,8.333333333333332
V2-only FP,dst_port,54456,1,8.333333333333332
V2-only FP,dst_port,54462,1,8.333333333333332
V2-only FP,dst_port,53786,1,8.333333333333332
V2-only FP,dst_port,48678,1,8.333333333333332
V2-only FP,dst_port,49248,1,8.333333333333332
All Attack,src_port,80,13193,12.395242211281897
All Attack,src_port,38082,17,0.01597203953549551
All Attack,src_port,52372,17,0.01597203953549551
All Attack,src_port,46866,17,0.01597203953549551
All Attack,src_port,37374,16,0.01503250779811342
All Attack,src_port,39710,16,0.01503250779811342
All Attack,src_port,38428,16,0.01503250779811342
All Attack,src_port,56846,16,0.01503250779811342
All Attack,src_port,34594,16,0.01503250779811342
All Attack,src_port,37218,16,0.01503250779811342
All Attack,src_port,40864,16,0.01503250779811342
All Attack,src_port,42254,16,0.01503250779811342
All Attack,src_port,44822,16,0.01503250779811342
All Attack,src_port,53502,15,0.01409297606073133
All Attack,src_port,54450,15,0.01409297606073133
All Attack,src_port,37596,15,0.01409297606073133
All Attack,src_port,37736,15,0.01409297606073133
All Attack,src_port,37892,15,0.01409297606073133
All Attack,src_port,38052,15,0.01409297606073133
All Attack,src_port,51560,15,0.01409297606073133
All Attack,dst_port,80,93243,87.6047577887181
All Attack,dst_port,37894,6,0.005637190424292533
All Attack,dst_port,54282,5,0.004697658686910444
All Attack,dst_port,36950,5,0.004697658686910444
All Attack,dst_port,54994,5,0.004697658686910444
All Attack,dst_port,52810,5,0.004697658686910444
All Attack,dst_port,58020,5,0.004697658686910444
All Attack,dst_port,58642,5,0.004697658686910444
All Attack,dst_port,58822,5,0.004697658686910444
All Attack,dst_port,60036,5,0.004697658686910444
All Attack,dst_port,33784,5,0.004697658686910444
All Attack,dst_port,34764,5,0.004697658686910444
All Attack,dst_port,42368,5,0.004697658686910444
All Attack,dst_port,43006,5,0.004697658686910444
All Attack,dst_port,46724,5,0.004697658686910444
All Attack,dst_port,33172,5,0.004697658686910444
All Attack,dst_port,34540,5,0.004697658686910444
All Attack,dst_port,36144,5,0.004697658686910444
All Attack,dst_port,35334,5,0.004697658686910444
All Attack,dst_port,47070,5,0.004697658686910444
All Benign,src_port,443,16317,15.133696287296303
All Benign,src_port,80,6885,6.3857019634758245
All Benign,src_port,123,623,0.5778202357654959
All Benign,src_port,22,416,0.3858318107198175
All Benign,src_port,137,290,0.26896929112679585
All Benign,src_port,21,219,0.2031181888164424
All Benign,src_port,389,146,0.13541212587762824
All Benign,src_port,139,119,0.11037015739340933
All Benign,src_port,88,102,0.09460299205149371
All Benign,src_port,465,87,0.08069078733803875
All Benign,src_port,138,66,0.061213700739201814
All Benign,src_port,3268,51,0.047301496025746854
All Benign,src_port,49666,35,0.032461810998061565
All Benign,src_port,5353,25,0.023187007855758262
All Benign,src_port,135,24,0.02225952754152793
All Benign,src_port,445,22,0.02040456691306727
All Benign,src_port,60048,18,0.01669464565614595
All Benign,src_port,60400,16,0.014839685027685288
All Benign,src_port,61044,16,0.014839685027685288
All Benign,src_port,60656,15,0.013912204713454956
All Benign,dst_port,53,39360,36.50562516810581
All Benign,dst_port,443,26207,24.306476595034272
All Benign,dst_port,80,14296,13.259258572236805
All Benign,dst_port,22,625,0.5796751963939566
All Benign,dst_port,123,623,0.5778202357654959
All Benign,dst_port,21,311,0.28844637772563275
All Benign,dst_port,137,286,0.26525936986987453
All Benign,dst_port,88,203,0.18827850378875707
