error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,feature,relative_mean_difference
135,106436,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,ip_protocol,0.0
135,106436,62.709245541838136,62.5256466241688,0.183598917669336,62.0,62.0,0.0,0.0,0.0,0.0,ttl_mean,0.29363777518834533
135,106436,681.8010856359004,2527.374487987173,-1845.5734023512723,0.0,281.0,-281.0,0.0,0.0,0.0,tcp_window_mean,73.02334541728742
135,106436,25.536805800509505,29.11187136987724,-3.575065569367734,20.0,32.0,-12.0,0.0,0.0,0.0,tcp_header_length_mean,12.280438876447294
135,106436,0.11851851851851852,0.7236649254011801,-0.6051464068826615,0.0,0.0,0.0,0.0,0.0,0.0,syn_count,83.6224591854006
135,106436,1.1037037037037036,3.755834492089143,-2.6521307883854393,0.0,3.0,-3.0,0.0,0.0,0.0,ack_count,70.61362245784744
135,106436,0.4222222222222222,0.43323687474162875,-0.011014652519406531,0.0,0.0,0.0,0.0,0.0,0.0,fin_count,2.5424088210347713
135,106436,0.562962962962963,0.5469202149648615,0.01604274799810146,1.0,1.0,0.0,0.0,0.0,0.0,rst_count,2.933288541754152
135,106436,0.5333333333333333,0.7381243188394904,-0.20479098550615704,0.0,0.0,0.0,0.0,0.0,0.0,psh_count,27.744782319073014
135,106436,0.05185185185185185,0.3233586380547935,-0.2715067862029416,0.0,0.0,0.0,0.0,0.0,0.0,syn_seen,83.96459975098438
135,106436,0.044444444444444446,0.3146867601187568,-0.27024231567431234,0.0,0.0,0.0,0.0,0.0,0.0,syn_ack_seen,85.87660808237626
135,106436,0.044444444444444446,0.31466796948400916,-0.2702235250395647,0.0,0.0,0.0,0.0,0.0,0.0,ack_after_syn_ack,85.87576469339278
135,106436,0.5239728627381501,2.5286149281611228,-2.0046420654229724,0.0,0.0009889602661132,-0.0009889602661132,0.0,0.0,0.0,flow_duration,79.27826586394482
135,106436,1.7333333333333334,4.516986733811868,-2.783653400478535,1.0,3.0,-2.0,0.0,0.0,0.0,flow_packet_count,61.62633553119649
135,106436,570.237037037037,3973.8241572400316,-3403.587120202995,60.0,198.0,-138.0,0.0,0.0,0.0,flow_byte_count,85.65016934636867
135,106436,1.4592592592592593,2.5883911458529067,-1.1291318865936475,1.0,3.0,-2.0,0.0,0.0,0.0,forward_packet_count,43.62292339018122
135,106436,0.2740740740740741,1.9285955879589614,-1.6545215138848872,0.0,0.0,0.0,0.0,0.0,0.0,reverse_packet_count,85.78892973803141
135,106436,254.5037037037037,355.25357022060206,-100.74986651689835,60.0,198.0,-138.0,0.0,0.0,0.0,forward_byte_count,28.359987052159852
135,106436,315.73333333333335,3618.5705870194297,-3302.837253686096,0.0,0.0,0.0,0.0,0.0,0.0,reverse_byte_count,91.2746393709733
135,106436,0.5017802342772484,0.32118682236224755,0.18059341191500083,2.0265579223632812e-06,4.0531158447265625e-06,-2.0265579223632812e-06,0.762962962962963,0.2622420985380886,0.5007208644248744,iat_min,56.226905757459825
135,106436,0.8779271879691483,0.6716738119159521,0.20625337605319616,2.1457672119140625e-06,0.0019428133964538002,-0.0019406676292418861,0.762962962962963,0.2622420985380886,0.5007208644248744,iat_mean,30.70737200023589
135,106436,1.553707405924797,2.0991555819429557,-0.5454481760181586,3.337860107421875e-06,0.0068550109863281,-0.006851673126220678,0.762962962962963,0.2622420985380886,0.5007208644248744,iat_max,25.984171002384578
135,106436,0.4484542715501731,0.6050134375085511,-0.156559165958378,0.0,0.00046760986477085,-0.00046760986477085,0.762962962962963,0.2622420985380886,0.5007208644248744,iat_std,25.876973345102805
135,106436,211542013.3169021,13113803.787250156,198428209.52965194,110470565.64705883,145725.19223760633,110324840.45482123,0.762962962962963,0.26373595400052613,0.4992270089624368,byte_rate,1513.1247405315992
135,106436,141.5564413090339,464.1182973565921,-322.5618560475582,60.0,66.0,-6.0,0.0,0.0,0.0,frame_length_mean,69.49992230100055
135,106436,124.24533019792278,448.3495936714343,-324.10426347351154,40.0,52.0,-12.0,0.0,0.0,0.0,ip_total_length_mean,72.28829200434741
135,106436,30928.414814814816,41049.76413995265,-10121.349325137831,38182.0,44694.0,-6512.0,0.0,0.0,0.0,src_port,24.656291058410712
135,106436,16455.303703703703,5887.188864669849,10568.114839033853,80.0,80.0,0.0,0.0,0.0,0.0,dst_port,179.5103755283806
135,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ip_dscp,
135,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ip_ecn,
135,106436,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,ip_header_length,0.0
135,106436,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ip_checksum_valid,0.0
135,106436,0.9629629629629629,0.6919463339471608,0.27101662901580215,1.0,1.0,0.0,0.0,0.0,0.0,l4_checksum_valid,39.16729025353834
135,106436,0.07407407407407407,0.4277781953474388,-0.35370412127336476,0.0,0.0,0.0,0.0,0.0,0.0,flow_direction,82.68399958676913
71,106436,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,ip_protocol,0.0
71,106436,62.62910798122066,62.5256466241688,0.10346135705186299,62.0,62.0,0.0,0.0,0.0,0.0,ttl_mean,0.16547027122126684
71,106436,578.1659624413145,2527.374487987173,-1949.2085255458583,235.0,281.0,-46.0,0.0,0.0,0.0,tcp_window_mean,77.12385065254924
71,106436,27.4679186228482,29.11187136987724,-1.64395274702904,32.0,32.0,0.0,0.0,0.0,0.0,tcp_header_length_mean,5.647018448735239
71,106436,0.15492957746478872,0.7236649254011801,-0.5687353479363914,0.0,0.0,0.0,0.0,0.0,0.0,syn_count,78.59097877669005
71,106436,1.619718309859155,3.755834492089143,-2.136116182229988,1.0,3.0,-2.0,0.0,0.0,0.0,ack_count,56.87460900445046
71,106436,0.4507042253521127,0.43323687474162875,0.017467350610483934,0.0,0.0,0.0,0.0,0.0,0.0,fin_count,4.031824534996244
71,106436,0.4788732394366197,0.5469202149648615,-0.06804697552824185,0.0,1.0,-1.0,0.0,0.0,0.0,rst_count,12.44184684828549
71,106436,0.36619718309859156,0.7381243188394904,-0.3719271357408988,0.0,0.0,0.0,0.0,0.0,0.0,psh_count,50.38814278950435
71,106436,0.07042253521126761,0.3233586380547935,-0.25293610284352586,0.0,0.0,0.0,0.0,0.0,0.0,syn_seen,78.22153889721218
