scenario,description,attack_evasion_rate,benign_induction_rate,mean_prob_shift_attack,mean_prob_shift_benign,mean_prob_drop_attack,mean_prob_rise_benign,n_attack_tested,n_benign_tested
ttl_jitter_small,TTL +/- 5 random jitter,0.4655,0.0035,0.457614233873479,0.011947500000000002,0.457614233873479,0.0112475,2000,2000
ttl_jitter_large,TTL +/- 30 random jitter,0.612,0.003,0.5699942256497947,0.011460000000000001,0.5699942256497947,0.010680000000000002,2000,2000
ttl_forced_normal,TTL forced to 128 (common default TTL),0.991,0.0,0.7563117074844905,0.0021075,0.7563117074844905,2.250000000000002e-05,2000,2000
checksum_forced_valid,IP/L4 checksum validity flags forced valid,0.0,0.0,0.016837500000000005,1.5e-05,0.016837500000000005,1e-05,2000,2000
checksum_forced_invalid,IP/L4 checksum validity flags forced invalid,0.0,0.0035,0.011595647706630345,0.007452500000000001,0.010319352293369673,0.007442500000000001,2000,2000
rst_count_zeroed,RST packet count zeroed,0.001,0.0,0.127395,0.000495,0.127355,-0.000135,2000,2000
syn_count_normalized,SYN count forced to 1 and SYN presence enabled,0.0005,0.0,0.06105174342105264,0.002765,0.06103674342105265,0.0026550000000000002,2000,2000
combined_evasion,TTL + checksum + RST evasion combined,0.9935,0.0,0.7964017074844906,0.0022025,0.7964017074844906,8.750000000000003e-05,2000,2000
