scenario,description,attack_evasion_rate,benign_induction_rate,mean_prob_shift_attack,mean_prob_shift_benign,mean_prob_drop_attack,mean_prob_rise_benign,n_attack_tested,n_benign_tested
ttl_jitter_small,TTL +/- 5 random jitter,0.0005,0.02,0.007787956763898318,0.033019999999999994,-0.005757956763898317,0.032780000000000004,2000,2000
ttl_jitter_large,TTL +/- 30 random jitter,0.0005,0.0225,0.008365525020770818,0.04864,-0.006665525020770816,0.04845,2000,2000
ttl_forced_normal,TTL forced to 128 (common default TTL),0.0,0.023,0.008802976064517598,0.041897500000000004,-0.007702976064517597,0.04160749999999999,2000,2000
checksum_forced_valid,IP/L4 checksum validity flags forced valid,0.0,0.0,0.026014999999999993,7.5e-05,0.026014999999999993,5.9999999999999995e-05,2000,2000
checksum_forced_invalid,IP/L4 checksum validity flags forced invalid,0.0,0.001,0.010842500000000008,0.008150000000000001,0.009377500000000006,0.00812,2000,2000
rst_count_zeroed,RST packet count zeroed,0.013,0.0,0.17199246566329265,0.00041749999999999996,0.17196746566329268,0.00012250000000000002,2000,2000
syn_count_normalized,SYN count forced to 1 and SYN presence enabled,0.0,0.0,0.058290000000000015,0.0093725,0.058290000000000015,0.0092925,2000,2000
combined_evasion,TTL + checksum + RST evasion combined,0.29,0.0215,0.25386763146236413,0.03839,0.2508120239354824,0.038045,2000,2000
