scenario,description,attack_evasion_rate,benign_induction_rate,mean_prob_shift_attack,mean_prob_shift_benign,mean_prob_drop_attack,mean_prob_rise_benign,n_attack_tested,n_benign_tested
ttl_jitter_small,TTL +/- 5 random jitter,0.001,0.021,0.008405256048469664,0.0326275,-0.0058352560484696645,0.0325575,2000,2000
ttl_jitter_large,TTL +/- 30 random jitter,0.0005,0.025,0.009112766755107781,0.0484075,-0.00695776675510778,0.0483275,2000,2000
ttl_forced_normal,TTL forced to 128 (common default TTL),0.0,0.0285,0.009557766755107782,0.0465725,-0.00840776675510778,0.0464125,2000,2000
checksum_forced_valid,IP/L4 checksum validity flags forced valid,0.0,0.0,0.02415999999999999,5.750000000000001e-05,0.02415999999999999,-2.7500000000000008e-05,2000,2000
checksum_forced_invalid,IP/L4 checksum validity flags forced invalid,0.0,0.0035,0.009510000000000005,0.010700000000000001,0.007615000000000004,0.010620000000000001,2000,2000
rst_count_zeroed,RST packet count zeroed,0.1045,0.0,0.18447748427672958,0.0009425000000000001,0.18447748427672958,-0.00020250000000000002,2000,2000
syn_count_normalized,SYN count forced to 1 and SYN presence enabled,0.0,0.0,0.0572925,0.011067500000000001,0.057287500000000005,0.0109175,2000,2000
combined_evasion,TTL + checksum + RST evasion combined,0.2455,0.0235,0.24000473324489222,0.0417075,0.2360897332448922,0.041217500000000004,2000,2000
