scenario,description,attack_evasion_rate,benign_induction_rate,mean_prob_shift_attack,mean_prob_shift_benign,mean_prob_drop_attack,mean_prob_rise_benign,n_attack_tested,n_benign_tested
combined_evasion,TTL + checksum + RST evasion combined,0.9945,0.0,0.806442327385296,0.001625,0.806442327385296,0.0005650000000000001,2000,2000
ttl_forced_normal,TTL forced to 128 (common default TTL),0.9935,0.0,0.7667473273852958,0.001545,0.7667473273852958,0.000455,2000,2000
ttl_jitter_large,TTL +/- 30 random jitter,0.6135,0.003,0.5738873795036911,0.011197499999999999,0.5738873795036911,0.010677499999999998,2000,2000
ttl_jitter_small,TTL +/- 5 random jitter,0.446,0.0055,0.4635798730277061,0.0130525,0.46357487302770606,0.0123625,2000,2000
rst_count_zeroed,RST packet count zeroed,0.0035,0.0,0.13919747058823528,0.00010250000000000001,0.13919747058823528,8.750000000000003e-05,2000,2000
checksum_forced_valid,IP/L4 checksum validity flags forced valid,0.0,0.0,0.015395000000000004,8.999999999999999e-05,0.015395000000000004,8.5e-05,2000,2000
checksum_forced_invalid,IP/L4 checksum validity flags forced invalid,0.0,0.001,0.012105031789282478,0.00645,0.00998496821071754,0.0064399999999999995,2000,2000
syn_count_normalized,SYN count forced to 1 and SYN presence enabled,0.0,0.0,0.061634970588235305,0.0027300000000000002,0.06162497058823531,0.0026900000000000006,2000,2000
