feature,baseline_accuracy,ablation_accuracy,accuracy_drop,baseline_balanced_accuracy,ablation_balanced_accuracy,balanced_accuracy_drop,baseline_precision,ablation_precision,precision_drop,baseline_recall,ablation_recall,recall_drop,baseline_f1,ablation_f1,f1_drop,baseline_auc,ablation_auc,auc_drop
dst_port,0.994441203239131,0.9803551842430749,0.014086018996056104,0.9944676956471631,0.9804709330773437,0.01399676256981941,0.9903189437492429,0.9633833461765106,0.02693559757273234,0.9985719117591793,0.9984027960464504,0.00016911571272881787,0.9944283047731324,0.9805805085332263,0.013847796239906063,0.9980127801001223,0.9953892303312193,0.0026235497689029996
src_port,0.994441203239131,0.9889710858556393,0.005470117383491679,0.9944676956471631,0.9889858412268286,0.005481854420334442,0.9903189437492429,0.9865907369484108,0.003728206800832079,0.9985719117591793,0.9912717501597204,0.007300161599458899,0.9944283047731324,0.9889257042699072,0.005502600503225152,0.9980127801001223,0.9953214023859553,0.0026913777141669426
ttl_mean,0.994441203239131,0.9927002870411425,0.0017409161979884402,0.9944676956471631,0.992732823006284,0.001734872640879126,0.9903189437492429,0.9876587988021501,0.0026601449470927685,0.9985719117591793,0.9977733097824044,0.0007986019767748376,0.9944283047731324,0.9926902907993008,0.0017380139738315536,0.9980127801001223,0.99809136836289,-7.858826276774256e-05
ip_id_mean,0.994441203239131,0.9927282910550512,0.0017129121840797623,0.9944676956471631,0.9927730001244415,0.001694695522721612,0.9903189437492429,0.9858612063374409,0.0044577374118019986,0.9985719117591793,0.9996993498440377,-0.0011274380848584897,0.9944283047731324,0.9927320563895394,0.0016962483835929465,0.9980127801001223,0.9965921235266754,0.0014206565734469212
tcp_window_mean,0.994441203239131,0.9930503372150008,0.0013908660241301884,0.9944676956471631,0.9930550188499229,0.0014126767972402199,0.9903189437492429,0.9922420990422228,-0.0019231552929799278,0.9985719117591793,0.9937802998985306,0.004791611860648692,0.9944283047731324,0.9930106037918296,0.001417700981302783,0.9980127801001223,0.99646837296956,0.001544407130562253
tcp_header_length_mean,0.994441203239131,0.9941985017852559,0.00024270145387506048,0.9944676956471631,0.9942186570832987,0.00024903856386437884,0.9903189437492429,0.9910375024506829,-0.0007185587014399974,0.9985719117591793,0.9973411251832087,0.0012307865759705328,0.9944283047731324,0.9941793218418256,0.00024898293130681814,0.9980127801001223,0.9978998414036547,0.00011293869646755716
fin_count,0.994441203239131,0.9942965158339362,0.00014468740519479883,0.9944676956471631,0.9943216464280584,0.0001460492191046603,0.9903189437492429,0.9903801338578273,-6.119010858440799e-05,0.9985719117591793,0.998214889698974,0.00035702206020526983,0.9944283047731324,0.9942820779172165,0.00014622685591592077,0.9980127801001223,0.9978471274069705,0.00016565269315182984
ack_count,0.994441203239131,0.994389862546965,5.13406921659465e-05,0.9944676956471631,0.9944162624300701,5.143321709299986e-05,0.9903189437492429,0.990281401416325,3.7542332917861465e-05,0.9985719117591793,0.9985061445375625,6.576722161677484e-05,0.9944283047731324,0.9943767660322985,5.1538740833856345e-05,0.9980127801001223,0.997698929278823,0.00031385082129931074
flow_direction,0.994441203239131,0.9944318685678281,9.334671302929642e-06,0.9944676956471631,0.994458360586905,9.335060258131023e-06,0.9903189437492429,0.9903096260820141,9.317667228780913e-06,0.9985719117591793,0.9985625164418054,9.395317373872558e-06,0.9944283047731324,0.9944189484419369,9.356331195475853e-06,0.9980127801001223,0.9977976821518592,0.0002150979482631321
syn_seen,0.994441203239131,0.9944318685678281,9.334671302929642e-06,0.9944676956471631,0.994458360586905,9.335060258131023e-06,0.9903189437492429,0.9903096260820141,9.317667228780913e-06,0.9985719117591793,0.9985625164418054,9.395317373872558e-06,0.9944283047731324,0.9944189484419369,9.356331195475853e-06,0.9980127801001223,0.998072015676954,-5.9235576831739856e-05
