group,n_features_removed,baseline_accuracy,ablation_accuracy,accuracy_drop,baseline_balanced_accuracy,ablation_balanced_accuracy,balanced_accuracy_drop,baseline_precision,ablation_precision,precision_drop,baseline_recall,ablation_recall,recall_drop,baseline_f1,ablation_f1,f1_drop,baseline_auc,ablation_auc,auc_drop
L2,4,0.994441203239131,0.9944458705747824,-4.66733565140931e-06,0.9944676956471631,0.9944723933058499,-4.697658686825257e-06,0.9903189437492429,0.990319033953263,-9.020402014225937e-08,0.9985719117591793,0.998581307076553,-9.395317373761536e-06,0.9944283047731324,0.9944330089820359,-4.704208903527629e-06,0.9980127801001223,0.9980914421266622,-7.866202653994403e-05
L3,12,0.994441203239131,0.9910013768640171,0.0034398263751138636,0.9944676956471631,0.991051497374234,0.0034161982729290497,0.9903189437492429,0.9833321000443984,0.006986843704844481,0.9985719117591793,0.9988161900108986,-0.00024427825171935424,0.9944283047731324,0.9910136659395566,0.003414638833575734,0.9980127801001223,0.9941609070643982,0.003851873035724096
L4,5,0.994441203239131,0.6241254579823108,0.3703157452568202,0.9944676956471631,0.6219012221833935,0.3725664734637696,0.9903189437492429,0.8909178714798829,0.09940107226936001,0.9985719117591793,0.27732158292307113,0.7212503288361081,0.9944283047731324,0.42297964418523004,0.5714486605879023,0.9980127801001223,0.963361364808227,0.034651415291895304
Flow,21,0.994441203239131,0.9313108212177079,0.06313038202142307,0.9944676956471631,0.9310225512622585,0.06344514438490456,0.9903189437492429,0.9729587574641874,0.017360186285055534,0.9985719117591793,0.8863636363636364,0.1122082753955429,0.9944283047731324,0.927644678685736,0.06678362608739641,0.9980127801001223,0.9897579958195876,0.008254784280534722
