error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,group,feature,relative_mean_difference
127,106436,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_protocol,0.0
127,106436,62.63318751822688,62.5256466241688,0.10754089405808287,62.0,62.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ttl_mean,0.17199485309523177
127,106436,523.948848060659,2527.374487987173,-2003.425639926514,0.0,281.0,-281.0,0.0,0.0,0.0,Persistent FN vs All Attack,tcp_window_mean,79.26904578047169
127,106436,25.03143773694955,29.11187136987724,-4.08043363292769,20.0,32.0,-12.0,0.0,0.0,0.0,Persistent FN vs All Attack,tcp_header_length_mean,14.016390705648055
127,106436,0.09448818897637795,0.7236649254011801,-0.6291767364248022,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,syn_count,86.94310230332137
127,106436,1.0393700787401574,3.755834492089143,-2.7164644133489855,0.0,3.0,-3.0,0.0,0.0,0.0,Persistent FN vs All Attack,ack_count,72.32652075246216
127,106436,0.3858267716535433,0.43323687474162875,-0.047410103088085465,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,fin_count,10.943228947526599
127,106436,0.6062992125984252,0.5469202149648615,0.05937899763356369,1.0,1.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,rst_count,10.85697621130692
127,106436,0.47244094488188976,0.7381243188394904,-0.2656833739576006,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,psh_count,35.994393786580424
127,106436,0.03937007874015748,0.3233586380547935,-0.283988559314636,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,syn_seen,87.82463985592179
127,106436,0.047244094488188976,0.3146867601187568,-0.26744266563056784,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,syn_ack_seen,84.98694559937637
127,106436,0.047244094488188976,0.31466796948400916,-0.2674238749958202,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ack_after_syn_ack,84.98604908352777
127,106436,0.32915651516651545,2.5286149281611228,-2.1994584129946073,0.0,0.0009889602661132,-0.0009889602661132,0.0,0.0,0.0,Persistent FN vs All Attack,flow_duration,86.98273463860758
127,106436,1.68503937007874,4.516986733811868,-2.8319473637331285,1.0,3.0,-2.0,0.0,0.0,0.0,Persistent FN vs All Attack,flow_packet_count,62.695498805312155
127,106436,493.03937007874015,3973.8241572400316,-3480.784787161291,60.0,198.0,-138.0,0.0,0.0,0.0,Persistent FN vs All Attack,flow_byte_count,87.59282367387956
127,106436,1.4251968503937007,2.5883911458529067,-1.163194295459206,1.0,3.0,-2.0,0.0,0.0,0.0,Persistent FN vs All Attack,forward_packet_count,44.93889176382263
127,106436,0.25984251968503935,1.9285955879589614,-1.668753068273922,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,reverse_packet_count,86.52685294380294
127,106436,247.84251968503938,355.25357022060206,-107.41105053556268,60.0,198.0,-138.0,0.0,0.0,0.0,Persistent FN vs All Attack,forward_byte_count,30.235037601131936
127,106436,245.1968503937008,3618.5705870194297,-3373.3737366257287,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,reverse_byte_count,93.22393070696829
127,106436,0.000811956822872153,0.32118682236224755,-0.3203748655393754,2.0265579223632812e-06,4.0531158447265625e-06,-2.0265579223632812e-06,0.7480314960629921,0.2622420985380886,0.4857893975249035,Persistent FN vs All Attack,iat_min,99.7472010785186
127,106436,0.4484460481327453,0.6716738119159521,-0.2232277637832068,2.1457672119140625e-06,0.0019428133964538002,-0.0019406676292418861,0.7480314960629921,0.2622420985380886,0.4857893975249035,Persistent FN vs All Attack,iat_mean,33.23454924443887
127,106436,1.1774551570415497,2.0991555819429557,-0.921700424901406,3.337860107421875e-06,0.0068550109863281,-0.006851673126220678,0.7480314960629921,0.2622420985380886,0.4857893975249035,Persistent FN vs All Attack,iat_max,43.908152060281786
127,106436,0.5164773998916834,0.6050134375085511,-0.08853603761686768,0.0,0.00046760986477085,-0.00046760986477085,0.7480314960629921,0.2622420985380886,0.4857893975249035,Persistent FN vs All Attack,iat_std,14.633730778188928
127,106436,211545767.60102654,13113803.787250156,198431963.81377637,110470565.64705883,145725.19223760633,110324840.45482123,0.7480314960629921,0.26373595400052613,0.484295542062466,Persistent FN vs All Attack,byte_rate,1513.1533690225033
127,106436,139.16442111402742,464.1182973565921,-324.95387624256466,60.0,66.0,-6.0,0.0,0.0,0.0,Persistent FN vs All Attack,frame_length_mean,70.01531249540363
127,106436,121.62111402741326,448.3495936714343,-326.72847964402104,40.0,52.0,-12.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_total_length_mean,72.87359780311492
127,106436,31913.858267716536,41049.76413995265,-9135.905872236111,40224.0,44694.0,-4470.0,0.0,0.0,0.0,Persistent FN vs All Attack,src_port,22.25568420098272
127,106436,15342.818897637795,5887.188864669849,9455.630032967947,80.0,80.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,dst_port,160.6136689399078
127,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_dscp,
127,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_ecn,
127,106436,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_header_length,0.0
127,106436,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,ip_checksum_valid,0.0
127,106436,0.968503937007874,0.6919463339471608,0.2765576030607132,1.0,1.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,l4_checksum_valid,39.96807114839516
127,106436,0.08661417322834646,0.4277781953474388,-0.34116402211909236,0.0,0.0,0.0,0.0,0.0,0.0,Persistent FN vs All Attack,flow_direction,79.75255069791508
23,106436,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_protocol,0.0
23,106436,63.130434782608695,62.5256466241688,0.6047881584398951,63.5,62.0,1.5,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ttl_mean,0.9672641405456796
23,106436,1999.0496894409937,2527.374487987173,-528.3247985461792,235.0,281.0,-46.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,tcp_window_mean,20.90409636788502
23,106436,27.817805383022776,29.11187136987724,-1.2940659868544628,32.0,32.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,tcp_header_length_mean,4.445148751905604
23,106436,0.391304347826087,0.7236649254011801,-0.33236057757509313,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,syn_count,45.927412799624285
23,106436,2.0,3.755834492089143,-1.7558344920891429,1.0,3.0,-2.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ack_count,46.74951720549536
23,106436,0.5652173913043478,0.43323687474162875,0.13198051656271903,1.0,0.0,1.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,fin_count,30.46382343179555
23,106436,0.391304347826087,0.5469202149648615,-0.15561586713877457,0.0,1.0,-1.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,rst_count,28.453120378586217
23,106436,0.8260869565217391,0.7381243188394904,0.08796263768224877,1.0,0.0,1.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,psh_count,11.917049125348866
23,106436,0.17391304347826086,0.3233586380547935,-0.14944559457653261,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,syn_seen,46.21666997224577
23,106436,0.13043478260869565,0.3146867601187568,-0.18425197751006114,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,syn_ack_seen,58.55091502436517
23,106436,0.13043478260869565,0.31466796948400916,-0.1842331868753135,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ack_after_syn_ack,58.548439861044045
23,106436,2.1810523116070293,2.5286149281611228,-0.3475626165540935,0.0,0.0009889602661132,-0.0009889602661132,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,flow_duration,13.74517775258293
23,106436,2.652173913043478,4.516986733811868,-1.8648128207683903,1.0,3.0,-2.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,flow_packet_count,41.28444316228225
23,106436,1886.304347826087,3973.8241572400316,-2087.5198094139446,77.0,198.0,-121.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,flow_byte_count,52.531761014402925
23,106436,1.565217391304348,2.5883911458529067,-1.0231737545485589,1.0,3.0,-2.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,forward_packet_count,39.52933296761879
23,106436,1.0869565217391304,1.9285955879589614,-0.841639066219831,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,reverse_packet_count,43.63999749219276
23,106436,301.1304347826087,355.25357022060206,-54.12313543799337,77.0,198.0,-121.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,forward_byte_count,15.235071502415723
23,106436,1585.1739130434783,3618.5705870194297,-2033.3966739759514,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,reverse_byte_count,56.19336765932302
23,106436,3.2065165519714354,0.32118682236224755,2.8853297296091878,4.696846008300781e-05,4.0531158447265625e-06,4.291534423828125e-05,0.782608695652174,0.2622420985380886,0.5203665971140854,Baseline FN Repaired vs All Attack,iat_min,898.3337823103451
23,106436,4.839940465080154,0.6716738119159521,4.168266653164202,0.0202171802520751,0.0019428133964538002,0.018274366855621303,0.782608695652174,0.2622420985380886,0.5203665971140854,Baseline FN Repaired vs All Attack,iat_mean,620.5790041559318
23,106436,6.649138784408569,2.0991555819429557,4.549983202465613,0.2105801105499267,0.0068550109863281,0.2037250995635986,0.782608695652174,0.2622420985380886,0.5203665971140854,Baseline FN Repaired vs All Attack,iat_max,216.75302400664359
23,106436,1.6694188637326057,0.6050134375085511,1.0644054262240545,0.0602784397562867,0.00046760986477085,0.05981082989151585,0.782608695652174,0.2622420985380886,0.5203665971140854,Baseline FN Repaired vs All Attack,iat_std,175.93087363601086
23,106436,6790930.764421903,13113803.787250156,-6322873.022828253,57642.24396446272,145725.19223760633,-88082.94827314361,0.782608695652174,0.26373595400052613,0.5188727416516479,Baseline FN Repaired vs All Attack,byte_rate,48.21540054591667
